from_address,to_address,amount_previous_transaction_of_sender,eth_value,block_timestamp,scam_adx
0xdd39aa61d75ef898bf0714ecd0a04204fb4c1ad9,0x379ce20c018fb6301c1872c429ec7270ffa4dc5b,15,0.09,2017-05-20 22:31:28 UTC,0x379ce20c018fb6301c1872c429ec7270ffa4dc5b
0xdd39aa61d75ef898bf0714ecd0a04204fb4c1ad9,0x379ce20c018fb6301c1872c429ec7270ffa4dc5b,15,0.09,2017-05-20 22:31:28 UTC,0x379ce20c018fb6301c1872c429ec7270ffa4dc5b
0xf304e1ab1b5baab4c330792f6ba2b60769aae966,0x42c5459911ae51d1d005cbe39749bd8d8e533c22,2,1.99386338,2017-07-09 01:39:34 UTC,0x42c5459911ae51d1d005cbe39749bd8d8e533c22
0x971f564ed6517d041a8ee55e5a62284f26987570,0xf0a924661b0263e5ce12756d07f45b8668c53380,0,0.004,2017-07-26 14:25:47 UTC,0xf0a924661b0263e5ce12756d07f45b8668c53380
0xeed16856d551569d134530ee3967ec79995e2051,0x00e01a648ff41346cdeb873182383333d2184dd1,38125,24.995,2017-07-26 10:50:45 UTC,0x00e01a648ff41346cdeb873182383333d2184dd1
0x66817272d39da7fd4c552f430fc0b694e357c157,0x2b065809f6ec6df32878bcd26711a0e2bcf59c26,37,1.1600485574352037,2017-07-26 10:56:17 UTC,0x2b065809f6ec6df32878bcd26711a0e2bcf59c26
0xeed16856d551569d134530ee3967ec79995e2051,0x00e01a648ff41346cdeb873182383333d2184dd1,38126,24.995,2017-07-26 10:56:17 UTC,0x00e01a648ff41346cdeb873182383333d2184dd1
0x99fadb8c411994e315a632d9300592eda411214c,0xf0a924661b0263e5ce12756d07f45b8668c53380,0,0.00756238,2017-07-26 22:15:20 UTC,0xf0a924661b0263e5ce12756d07f45b8668c53380
0xba5ce24d4fd348c0aa82bf372e69af3b57ef9ec2,0xf0a924661b0263e5ce12756d07f45b8668c53380,5,0.5,2017-07-26 15:27:33 UTC,0xf0a924661b0263e5ce12756d07f45b8668c53380
0x971f564ed6517d041a8ee55e5a62284f26987570,0xf0a924661b0263e5ce12756d07f45b8668c53380,1,0.1,2017-07-26 14:30:04 UTC,0xf0a924661b0263e5ce12756d07f45b8668c53380
0xdac7006d990cfca2c14697573488dc581e720288,0xf0a924661b0263e5ce12756d07f45b8668c53380,2,0.253,2017-07-26 20:58:52 UTC,0xf0a924661b0263e5ce12756d07f45b8668c53380
0x9cb113d5b75a5b7b3ed32aae2a9e772d65da17b9,0xf0a924661b0263e5ce12756d07f45b8668c53380,3,0.23105360443622922,2017-07-26 19:54:22 UTC,0xf0a924661b0263e5ce12756d07f45b8668c53380
0xecf68f1b6e3780dcde22816f23469b4bbff944d8,0xf17ba6d6ac0c9e691aa530482d616a4120134a17,0,0.22914919,2017-08-02 22:20:48 UTC,0xf17ba6d6ac0c9e691aa530482d616a4120134a17
0xf9f3b600e74f72be1514256c4e6adfc2d8eb40e7,0xaff9e40f9b245b15a1d1bb45516ca213e682fa81,0,0.29587497,2017-09-22 06:09:49 UTC,0xaff9e40f9b245b15a1d1bb45516ca213e682fa81
0x0061d5848aff3efe4696e728ecf6ff6063e9cb81,0xf0a924661b0263e5ce12756d07f45b8668c53380,1,0.0,2017-07-27 21:29:56 UTC,0xf0a924661b0263e5ce12756d07f45b8668c53380
0xf384b1a1bb4aed4f6438b3f4fa6957e050a42b5e,0xf0a924661b0263e5ce12756d07f45b8668c53380,1,0.38,2017-07-27 08:34:21 UTC,0xf0a924661b0263e5ce12756d07f45b8668c53380
