from_address,to_address,amount_previous_transaction_of_sender,eth_value,block_timestamp,scam_adx
0x4d67f4f0db45b3b5a3424b39ed8d972f710381d5,0x32be343b94f860124dc4fee278fdcbd38c102d88,71,53.898772199999996,2015-08-22 02:32:10 UTC,
0x608f4b86321a68453f9adf6f06f7fc3e621739ad,0x32be343b94f860124dc4fee278fdcbd38c102d88,157,4.99877221,2015-08-22 02:32:10 UTC,
0x32be343b94f860124dc4fee278fdcbd38c102d88,0x46ba74c70a2640f6a116d74f569f144cc865cd03,1660,0.99,2015-08-22 03:05:50 UTC,
0x32be343b94f860124dc4fee278fdcbd38c102d88,0xaaa4befa989b980188a418cc5c4c02e7d9103818,1662,698.00663415,2015-08-22 03:05:50 UTC,
0x32be343b94f860124dc4fee278fdcbd38c102d88,0x46ba74c70a2640f6a116d74f569f144cc865cd03,1661,0.99,2015-08-22 03:05:50 UTC,
0x576f13dded1f2ad6b9d55ee8a1b67815ee7c92d9,0x32be343b94f860124dc4fee278fdcbd38c102d88,8,46.99875111,2015-08-22 01:58:28 UTC,
0x004b37d3e250eb1826fc6a587deddc18e7be6f6f,0xd5ec7fec1f39ba7e58cde6abed1dd4e530daef6e,3,55.0,2015-08-22 19:00:48 UTC,
0x608f4b86321a68453f9adf6f06f7fc3e621739ad,0x32be343b94f860124dc4fee278fdcbd38c102d88,222,4.99996851,2015-08-22 10:57:21 UTC,
0x6964b95bf8ba16b837e2f3ae8da7d299553ec1f7,0x32be343b94f860124dc4fee278fdcbd38c102d88,14,18.92121645,2015-08-22 07:17:30 UTC,
0x18883522e2679aa9b41e0fa688f20c3802897525,0x32be343b94f860124dc4fee278fdcbd38c102d88,14,4.75015943,2015-08-22 07:17:30 UTC,
0xb415e74b9b5b2058ef3541265aaf7ce09c4953bc,0x32be343b94f860124dc4fee278fdcbd38c102d88,14,6.40368213,2015-08-22 07:17:30 UTC,
0xfbb1b73c4f0bda4f67dca266ce6ef42f520fbb98,0x95ac27ac0ab7b97ca9a05f935a3478b70002d213,269,35.53512354,2015-08-22 15:08:22 UTC,
0xbc8405a1c3b4f67a4ba6c70c91ef1f0152b6d3ab,0x32be343b94f860124dc4fee278fdcbd38c102d88,11,2.23688587,2015-08-22 19:17:33 UTC,
0x806c4e20cc913d7b70f5b7e24c6ba15b16c56a5c,0x32be343b94f860124dc4fee278fdcbd38c102d88,12,4.53325945,2015-08-22 19:17:33 UTC,
0x2cf4364bc4c7c3333ab9963c4b3473664f42d83a,0x32be343b94f860124dc4fee278fdcbd38c102d88,14,6.02766304,2015-08-22 19:17:33 UTC,
0x82f600f520d879ecc6101c4e8cdd6522fdd24778,0x32be343b94f860124dc4fee278fdcbd38c102d88,8,15.19948206,2015-08-22 13:07:12 UTC,
0x770e2de60a56861f14ff290b17748ce8f576aa8f,0x32be343b94f860124dc4fee278fdcbd38c102d88,7,13.91804632,2015-08-22 13:07:12 UTC,
0x3a4cc071e426cffba54c267391e401e820a5e472,0x32be343b94f860124dc4fee278fdcbd38c102d88,5,14.041579270000002,2015-08-22 13:07:12 UTC,
0xf2881e3e520bf84469fa00a56449d357fb1af54a,0x32be343b94f860124dc4fee278fdcbd38c102d88,17,20.018725059999998,2015-08-22 15:37:12 UTC,
0x608f4b86321a68453f9adf6f06f7fc3e621739ad,0x32be343b94f860124dc4fee278fdcbd38c102d88,250,20.00004084,2015-08-22 14:21:54 UTC,
0x4d67f4f0db45b3b5a3424b39ed8d972f710381d5,0x32be343b94f860124dc4fee278fdcbd38c102d88,80,50.89881365,2015-08-22 14:21:54 UTC,
0x263d845a19110802000139cbb7a4bbf2b2b8d6c0,0x32be343b94f860124dc4fee278fdcbd38c102d88,13,6.48324983,2015-08-22 13:05:17 UTC,
0xc517a1cef7630dc7febd59e9f7fb80f56eacb21e,0x32be343b94f860124dc4fee278fdcbd38c102d88,7,22.33714797,2015-08-22 13:05:17 UTC,
0xd3d0dc7c009a66ee7569bd914ec999a853dd8761,0x32be343b94f860124dc4fee278fdcbd38c102d88,1,10.42124142,2015-08-22 13:05:17 UTC,
0x59cc965f1643a68ad7a4272ff1654d4af4343ea7,0x32be343b94f860124dc4fee278fdcbd38c102d88,13,10.04707168,2015-08-22 13:05:17 UTC,
0x2f096bc75d1ad339391250e1d940d40b6d691f6b,0x471f22af7b59daa9b0f9455105d55574a9bb3c3a,0,5.77428041,2015-08-22 03:09:24 UTC,
0x608f4b86321a68453f9adf6f06f7fc3e621739ad,0x32be343b94f860124dc4fee278fdcbd38c102d88,163,5.00236761,2015-08-22 03:09:24 UTC,
0xf97e4688e66cd658f9666d93fd97f779b80218a0,0x32be343b94f860124dc4fee278fdcbd38c102d88,10,3.09493746,2015-08-22 13:04:44 UTC,
0xfa61fff5ba13ff0dd59b579457f557e0dded02da,0x32be343b94f860124dc4fee278fdcbd38c102d88,5,1.69902319,2015-08-22 13:04:44 UTC,
